Date,Open,High,Low,Close,Volume
2022-03-16,91.89,93.88,89.31,91.13,37906100.0
2022-03-17,92.9,94.98,92.57,94.3,40663500.0
2022-03-18,95.41,96.09,93.8,96.09,46080900.0
2022-03-21,97.33,99.43,97.15,98.81,25374600.0
2022-03-22,98.51,98.96,96.19,96.6,29489800.0
2022-03-23,97.5,98.94,96.29,96.45,26309600.0
2022-03-24,96.2,97.6,95.31,96.91,23122800.0
2022-03-25,97.7,98.3,94.3,95.23,22505500.0
2022-03-28,95.7,96.34,93.61,95.34,16274200.0
2022-03-29,95.34,95.66,93.4,94.52,38228800.0
2022-03-30,96.32,97.11,95.27,95.87,22007500.0
2022-03-31,96.42,96.89,95.36,95.6,17981400.0
2022-04-01,96.78,97.5,96.07,96.96,22457700.0
2022-04-04,96.77,98.25,96.55,97.94,16914000.0
2022-04-05,97.36,97.78,94.82,95.11,25764400.0
2022-04-06,95.33,96.72,95.33,96.55,22615800.0
2022-04-07,95.5,97.69,95.14,97.13,19946600.0
2022-04-08,96.64,97.4,94.62,95.15,26887400.0
2022-04-11,93.81,94.71,92.92,94.0,16515800.0
2022-04-12,95.1,95.61,93.24,93.37,16822600.0
2022-04-13,93.49,94.38,92.81,93.4,23674700.0
2022-04-14,93.31,94.0,91.36,92.09,24980700.0
2022-04-18,91.61,92.0,90.01,90.57,14812600.0
2022-04-19,89.69,89.69,86.84,87.68,34550900.0
2022-04-20,86.61,86.67,84.4,85.4,29635700.0
2022-04-22,83.25,83.4,80.08,80.45,39058200.0
2022-04-25,77.94,79.61,77.54,79.08,38943700.0
2022-04-26,79.08,79.32,77.85,78.0,37069400.0
2022-04-27,80.46,82.7,80.15,82.17,49408800.0
2022-04-28,85.02,85.55,80.83,84.2,56032800.0
2022-04-29,86.18,87.2,83.29,83.29,47492200.0
2022-05-02,83.16,83.2,80.64,82.92,31473600.0
2022-05-03,82.95,84.21,82.19,82.5,27364600.0
2022-05-04,81.93,82.18,79.85,81.81,34032200.0
2022-05-05,81.55,83.2,79.08,80.33,30906600.0
2022-05-06,79.2,80.9,78.25,79.76,25204100.0
2022-05-09,77.53,77.98,76.08,76.49,37050200.0
2022-05-10,76.27,76.94,74.87,75.54,31905000.0
2022-05-11,77.37,79.89,77.12,78.69,33933400.0
2022-05-12,77.05,77.9,75.87,77.9,27737200.0
2022-05-13,78.42,79.35,77.8,77.81,26086800.0
2022-05-16,78.68,80.64,78.52,80.14,23828800.0
2022-05-17,81.85,81.92,78.86,79.8,29305300.0
2022-05-18,78.71,79.25,77.42,77.78,30631700.0
2022-05-19,77.78,80.38,77.47,79.85,29984300.0
2022-05-20,82.01,82.46,80.58,81.26,38372000.0
2022-05-23,82.3,83.65,82.27,82.92,27632800.0
2022-05-24,81.82,84.09,81.0,84.04,35176800.0
2022-05-25,84.0,84.8,83.41,84.3,24607700.0
2022-05-26,84.16,84.65,83.1,84.25,27450600.0
2022-05-27,84.9,85.88,84.7,85.72,19834500.0
2022-05-30,86.28,87.41,86.01,86.65,16147900.0
2022-05-31,87.22,87.43,85.01,86.21,41369800.0
2022-06-01,86.19,88.78,86.0,88.24,26258900.0
2022-06-02,90.0,90.28,89.0,89.9,25142400.0
2022-06-03,89.5,89.81,88.36,88.46,18431900.0
2022-06-06,89.64,89.79,88.55,88.55,14932800.0
2022-06-07,88.24,90.89,88.11,90.62,27004800.0
2022-06-08,89.78,90.33,86.85,87.5,26959100.0
2022-06-09,87.0,87.0,84.45,84.54,36291100.0
2022-06-10,83.37,84.99,82.38,84.56,28689500.0
2022-06-13,82.1,82.87,80.1,81.88,31050500.0
2022-06-14,82.33,82.8,80.89,81.72,22634500.0
2022-06-15,82.1,83.77,81.54,81.67,33610300.0
2022-06-17,79.35,79.35,76.11,77.41,56914600.0
2022-06-20,75.6,76.18,74.25,75.5,26725700.0
2022-06-21,76.8,77.64,75.76,76.0,20981000.0
2022-06-22,74.0,76.05,73.38,75.35,32228300.0
2022-06-23,76.44,77.31,72.43,72.6,31943300.0
2022-06-24,72.78,74.88,72.6,74.62,22394300.0
2022-06-27,76.5,78.97,76.06,78.05,28825700.0
2022-06-28,80.0,80.23,78.78,79.45,26052000.0
2022-06-29,79.61,80.09,78.04,78.79,18636600.0
2022-06-30,76.99,78.05,76.17,76.56,27471300.0
2022-07-01,75.52,76.53,73.8,75.1,26721000.0
2022-07-04,74.0,75.01,73.58,74.67,12474200.0
2022-07-05,74.34,74.42,72.57,74.3,26472200.0
2022-07-06,74.65,75.45,73.54,75.0,23138800.0
2022-07-07,77.26,78.22,76.88,77.18,34251200.0
2022-07-08,76.83,77.86,75.3,75.4,24149200.0
2022-07-11,74.15,74.16,72.56,72.83,22076800.0
2022-07-12,72.0,73.17,71.06,73.05,22460000.0
2022-07-13,72.95,73.64,72.31,72.8,22980800.0
2022-07-14,70.5,70.83,67.56,67.95,57715800.0
2022-07-15,67.5,68.49,66.65,68.37,36589000.0
2022-07-18,70.39,70.39,68.7,68.73,22131300.0
2022-07-19,68.21,69.27,67.99,68.88,21785500.0
2022-07-20,68.46,68.48,66.18,67.39,40427400.0
2022-07-21,67.31,68.62,66.64,68.57,26987300.0
2022-07-22,69.8,70.75,68.97,69.21,27884000.0
2022-07-25,70.66,71.23,70.04,70.49,19833200.0
2022-07-26,71.32,71.42,69.58,70.36,19791500.0
2022-07-27,69.97,70.62,69.31,70.52,21666900.0
2022-07-28,71.46,71.97,70.31,70.69,21778700.0
2022-07-29,69.67,70.32,68.03,69.75,77006600.0
2022-08-01,68.94,69.85,67.93,68.08,38874000.0
2022-08-02,68.33,70.47,66.98,70.25,32636900.0
2022-08-03,70.06,70.15,67.52,67.52,31934600.0
2022-08-04,67.67,68.05,66.82,67.13,40540800.0
2022-08-05,67.89,68.75,67.5,68.0,36129300.0
2022-08-08,68.83,69.14,67.76,68.58,35705300.0
2022-08-09,68.59,70.16,68.15,70.0,35174600.0
2022-08-10,70.73,70.81,69.12,70.05,30202200.0
2022-08-11,70.8,73.65,70.55,72.49,51158600.0
2022-08-12,68.78,69.8,68.3,69.8,35608400.0
2022-08-15,68.0,68.55,67.04,68.3,26735800.0
2022-08-16,69.5,70.35,69.11,69.82,22070200.0
2022-08-17,68.32,68.8,67.89,68.23,29131700.0
2022-08-18,68.3,68.61,67.71,67.72,27692000.0
2022-08-19,67.0,67.44,66.48,66.96,45903800.0
2022-08-22,66.8,66.91,65.83,65.98,19335700.0
2022-08-23,66.78,70.3,66.65,70.21,37223500.0
2022-08-24,69.78,70.25,67.81,67.95,28773800.0
2022-08-25,68.9,69.43,68.25,69.27,24956700.0
2022-08-26,69.65,71.2,68.23,68.23,28510100.0
